Location,Latitude,Longitude
"Baikonur Cosmodrome, Kazakhstan",45.9178932,63.4083721
"Barents Sea Launch Area, Barents Sea",38.10558,74.34747
"Blue Origin Launch Site, West Texas, Texas, USA",31.35344,-104.82064
"Brigitte, Hammaguir, Algeria, France",30.88433,-3.03922
"Cape Canaveral AFS, Florida, USA",28.49117,-80.57944
"Cape Canaveral SFS, Florida, USA",28.4665327,-80.5631981
"Cosmic Girl, Mojave Air and Space Port, California, USA",35.05731,-118.15789
"ELD, Guiana Space Centre, French Guiana, France",5.225567,-52.775934
"ELS, Guiana Space Centre, French Guiana, France",5.225567,-52.775934
"Edwards AFB, California, USA",34.9119057,-117.8832412
"First Launch Pad, Satish Dhawan Space Centre, India",13.73278,80.23436
"Guiana Space Centre, French Guiana, France",5.2123752,-52.7738833
"Imam Khomeini Spaceport, Semnan Space Center, Iran",35.23853,53.94917
"Jiuquan Satellite Launch Center, China",40.9649890,100.2838215
"Kapustin Yar, Russia",48.5756340,45.7668950
"Kauai, Pacific Missile Range Facility",22.0259646,-159.7846058
"Kennedy Space Center, Florida, USA",28.5242796,-80.6818558
"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",1.87975,-157.43086
"Launch Plateform, Shahrud Missile Test Site",36.200646,55.333933
"Launch Platform, Shahrud Missile Test Site, Iran",36.200646,55.333933
"Launch Site One, West Texas, Texas, USA",31.423333,-104.758889
"Mahia Peninsula, New Zealand",-39.1651302,177.8764263
"Mu Pad, Uchinoura Space Center, Japan",31.2540782,131.0796178
"Māhia Peninsula, New Zealand",-39.1651302,177.8764263
"Naro Space Center, South Korea",34.4381041,127.5255704
"Naval Air Station Point Mugu, California, USA",34.1141518,-119.1180463
"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.0478611,167.7430000
"Pacific Spaceport Complex, Alaska, USA",57.4429518,-152.3652906
"Pacific Spaceport Complex, Kodiak, Alaska, USA",57.4429518,-152.3652906
"Pad A, Boca Chica, Texas, USA",25.975,-97.202
"Palmachim Airbase, Israel",31.8778,34.6800
"Plesetsk Cosmodrome, Russia",62.9310706,40.5314609
"RAAF Woomera Range Complex, Australia",-31.1500,136.8000
"SLC-N, Tanegashima Space Center, Japan",30.3943415,130.9577895
"SLV LP, Satish Dhawan Space Centre, India",13.7400,80.2300
"SM Launch Tab, San Marco Launch Platform, Kenya",-2.9833,40.0667
"San Marco Launch Platform, Kenya",-2.9833,40.0667
"Second Launch Pad, Satish Dhawan Space Centre, India",13.7330,80.2240
"Sohae Satellite Launching Station, North Korea",39.6609592,124.6992349
"Stargazer, Base Aerea de Gando, Gran Canaria",28.1036,-15.4136
"Stargazer, Cape Canaveral AFS, Florida, USA",28.49117,-80.57944
"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.0478611,167.7430000
"Stargazer, Vandenberg AFB, California, USA",34.7425933,-120.5155986
"Stargazer, Vandenberg SFB, California, USA",34.7425933,-120.5155986
"Stargazer, Wallops Flight Facility, Virginia, USA",37.9352382,-75.4696956
"Suborbital Pad A, Starbase, Texas, USA",25.975,-97.202
"Suborbital Pad B, Starbase, Texas, USA",25.975,-97.202
"Svobodny Cosmodrome, Russia",51.8531816,128.3451379
"Tai Rui Barge, Yellow Sea",,
"Taiyuan Satellite Launch Center, China",37.8975,111.6600
"Tanegashima Space Center, Japan",30.3943415,130.9577895
"Tonghae Satellite Launching Ground, North Korea",40.8563179,129.6612180
"Uchinoura Space Center, Japan",31.2540782,131.0796178
"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",-2.3200,-44.3800
"VMS Eve, Spaceport America, New Mexico, USA",32.9902,-106.9700
"Vandenberg AFB, California, USA",34.7425933,-120.5155986
"Vandenberg SFB, California, USA",34.7425933,-120.5155986
"Vertical Launch Area, Spaceport America, New Mexico",32.9902,-106.9700
"Vostochny Cosmodrome, Russia",51.8531816,128.3451379
"Wallops Flight Facility, Virginia, USA",37.9352382,-75.4696956
"Wenchang Satellite Launch Center, China",19.6147,110.9514
"Xichang Satellite Launch Center, China",28.2457616,102.0279380
"Yasny Cosmodrome, Russia",51.2120,59.8500
